功夫3D	功夫
再见，我的妾	霸王别姬
十分大师－小号篇	十分钟年华老去：小号篇
十分钟前：小号响起	十分钟年华老去：小号篇
十分钟，年华老去（上）	十分钟年华老去：小号篇
17岁的单车	十七岁的单车
自行车	十七岁的单车
北京自行车	十七岁的单车
西遊記大結局之仙履奇緣	大话西游之大圣娶亲
西游记完结篇仙履奇缘	大话西游之大圣娶亲
齐天大圣西游记	大话西游之大圣娶亲
大话东游之二	大话西游之大圣娶亲
新龍門客棧	新龙门客栈
人生	活着
黃飛鴻之三獅王爭霸	黄飞鸿之三：狮王争霸
黄飞鸿3	黄飞鸿之三：狮王争霸
黄飞鸿之狮王争霸	黄飞鸿之三：狮王争霸
面王	变脸
面具之王	变脸
黃飛鴻之四王者之風	黄飞鸿之四：王者之风
黄飞鸿之王者之风	黄飞鸿之四：王者之风
中華英雄	中华英雄
华英雄	中华英雄
始皇帝暗杀	荆轲刺秦王
刺秦	荆轲刺秦王
一个也不能少	一个都不能少
風雲雄霸天下	风云雄霸天下
无政府主义	天地男儿之激进党员
晚报新闻	有话好好说
紅玫瑰白玫瑰	红玫瑰白玫瑰
红玫瑰与白玫瑰	红玫瑰白玫瑰
新天龍八部之天山童姥	新天龙八部之天山童姥
天龙八部之天山童姥	新天龙八部之天山童姥
天山童姥	新天龙八部之天山童姥
南京1937	南京大屠杀
1937南京记忆	南京大屠杀
水滸傳之英雄本色	水浒传之英雄本色
英雄本色	水浒传之英雄本色
浪漫樱花	芭啦芭啦樱之花
打左灯，向右转	红灯停，绿灯行
金枝泪	豆花女
世上只有妈妈好	豆花女
海灘的一天	海滩的一天
一刀傾城	一刀倾城
神州第一刀	一刀倾城
商客 镖客	金客
断了的弦	边走边唱
命若琴弦	边走边唱
西遊記第壹佰零壹回之月光寶盒	大话西游之月光宝盒
西游记101回月光宝盒	大话西游之月光宝盒
齐天大圣东游记	大话西游之月光宝盒
大话东游之一	大话西游之月光宝盒
半生緣	半生缘
国姓爷合战	英雄郑成功
趁热打劫	埋伏
大隻佬	大块头有大智慧
大只佬	大块头有大智慧
臥虎藏龍	卧虎藏龙
背着爸爸上学去	背起爸爸上学
宋家三姐妹	宋家皇朝
宋氏三姐妹	宋家皇朝
宋家の三姉妹	宋家皇朝
曼荼羅　若き日の弘法大師・空海	曼荼罗
我的失忆男友	失忆界女王
秘语拾柒小时	秘语十七小时
秘语17小时	秘语十七小时
醉拳Ⅲ	醉拳3
醉拳三	醉拳3
燃情男狙擊	燃情狙击手
鬼迷心竅	鬼迷心窍
惊吓王	鬼迷心窍
天剑绝刀	侠女传奇
天剑绝刀之独孤九剑	侠女传奇
新侠女	侠女传奇
我家有一隻河東獅	河东狮吼
站直鹋肯	站直啰，别趴下
待到春花烂漫时	开往春天的地铁
怪談之魔鏡	古镜怪谈
怪谈之魔镜	古镜怪谈
午夜凶镜	古镜怪谈
中国版午夜凶铃	古镜怪谈
过着狼狈不堪的生活	一声叹息
李连英	大太监李莲英
天下无爱	新十字街头
离婚后不要来找我	离婚
庭院中的女人	庭院里的女人
阿拉来的一个美国孙子	上海假期
惊天传奇	神话
钛雨	神话
畫皮之陰陽法王	画皮之阴阳法王
特区特警	天网行动
超級大國民	超级大国民
灿烂公厕	男男女女
榴槤飄飄	榴莲飘飘
無間道III 終極無間	无间道3：终极无间
一生一台戲	一生一台戏
大决战第三部：平津战役	大决战之平津战役
平津战役	大决战之平津战役
那山、那人、那狗	那山那人那狗
那山，那人，那狗	那山那人那狗
背对背，脸对脸	背靠背，脸对脸
秋风醉了	背靠背，脸对脸
馬戲小子	马戏小子
江湖情未了	马戏小子
破军之战	马戏小子
藍宇	蓝宇
我爱北京	夏日暖洋洋
爱情命运号	爱情梦幻号
幸福大街	红西服
故郷の香り	暖
诸葛孔明	一代枭雄曹操
三国演义之诸葛孔明	一代枭雄曹操
三国演义之一代枭雄曹操	一代枭雄曹操
地下鐵	地下铁
千机变2之花都大战	千机变Ⅱ花都大战
枪林恋曲	爱‧作战
北京痴男怨女(港)	大撒把
我的一九一九	我的1919
我十九	青红
米	大鸿米店
追击八月十五	追击8月15
抹茶之恋味	鸳鸯蝴蝶
十面攻敌	举起手来！
戀愛地圖	恋爱地图
大话情圣	恋爱地图
关于爱	恋爱地图
冤家父子	我是你爸爸
懸戀	悬恋
红豆	悬恋
世纪末的对话	悬恋
以刑警的名义	蓝色爱情
黑駿馬	黑骏马
爱在草原的天空(港)	黑骏马
断刀客	刀
灵异幽息	窒息
无思い出の夏	王首先的夏天
昆仑关大捷	铁血昆仑关
血战南宁	铁血昆仑关
出口	铁血昆仑关
铁血	铁血昆仑关
疑云杀机(台)	不朽的园丁
无国界追凶(港)	不朽的园丁
哥斯拉终极战	哥斯拉之终极战役
哥吉拉最后战役	哥斯拉之终极战役
大决战第二部：淮海战役	大决战之淮海战役
淮海战役	大决战之淮海战役
大决战第一部：辽沈战役	大决战之辽沈战役
泪女	哭泣的女人
梦影童年	电影往事
心心	心·心
铁道游击队	飞虎队
救命2怪物	怪物
桂林荣记	花桥荣记
爱在遥远的附近(港)	面纱
猜心(台)	面纱
兄弟	我们
绝对隐私系列	我们
清凉寺的钟声	清凉寺钟声
乳泉村の子	清凉寺钟声
日，我的太阳	我的太阳
穆斯林的葬礼	月落玉长河
停车暂借问	烟雨红颜
四个厨师一围菜	春风得意梅龙镇
验身	五魁
呉清源　極みの棋譜	吴清源
阿斯匹林	阿司匹林
古城童话	再见，我们的1948
武林圣斗士	东瀛游侠
荡寇英雄	东瀛游侠
赤壁	赤壁(上)
没有原告的杀人事件(港)	被告山杠爷
滑稽人	上一当
小红花	看上去很美
完美女人	井盖儿
我为谁狂	井盖儿
沉沦	幸福从邪恶中穿行
绝对隐私系列	幸福从邪恶中穿行
我的非典女友	三十八度
38度	三十八度
无敌铁沙掌	无敌铁砂掌
龙虎三皇	龙虎门
蒙古乒乓	绿草地
闪灵凶猛	动物凶灵
黑白	黑白摄影工作室杀人事件
錯體追擊組合	错体追击组合
猎狐	错体追击组合
老少爷们打鬼子	绝境逢生
弘一法师	一轮明月
刀客	关中刀客之愤操子
血溅天地帮	关中刀客之七寸子
我的蓝莓之夜	蓝莓之夜
目的地上海	目的地，上海
神力女超人(台)	神奇女侠
上车，走吧	上车走吧
野蛮必杀技	野蛮秘笈
贴身欲女	处女作
卡车小提琴	卡车上掉下的小提琴
怀孕	结果
太阳再次升起	太阳照常升起
妈妈再爱我一次2	母亲快乐
中国功夫少女组	空手道少女组
寒冰	消失的女人
绝对隐私系列	渴望一份真爱的感觉
绝对隐私系列	赵军的秘密
绝对隐私系列	人在北京
绝对隐私系列	冯齐的忏悔
绝对隐私系列	陈越的婚纱
绝对隐私系列	别提过去别问将来
夜の上海	夜·上海
夜上海	夜·上海
夜。上海	夜·上海
新版西岳奇童	西岳奇童
爱在路上	爱·在路上
魔比斯环3D	魔比斯环
魔必尔斯环	魔比斯环
阴阳界	门
那木错	七月
色|戒	色，戒
色·戒	色，戒
色戒	色，戒
原谅我又一次撒了谎	原谅我，又一次撒了谎
落叶(原名)	落叶归根
回家	落叶归根
叶落归根	落叶归根
寶貝計劃	宝贝计划
BB计划	宝贝计划
茄子(原名)	好奇害死猫
我的大嚿父母	外来媳妇本地郎
皆大欢喜	外来媳妇本地郎
我亚妈发仔瘟	花街欢乐坊
我的黑道老婆3	我的老婆是大佬3
我的老婆是黑社会3	我的老婆是大佬3
长江哀歌	三峡好人
大路	狭路英豪
龙腾中国	狭路英豪
終極忍者	终极忍者
战神再现	终极忍者
爱情短讯	短信一月追
杀人游戏	天黑请闭眼
美国人在中国	中国月亮
誓言	心中有鬼
永远的楠溪江	楠溪江
终极衡量	最后一搏
乡村行动	光荣的愤怒
黄石任务	黄石的孩子
战火逃城.	黄石的孩子
牛奶风尚	牛奶时尚
三言二拍之郑月娥从良记	胭楼记
胭脂记	胭楼记
百分百爱你	初恋的故事
追风筝的孩子	追风筝的人
王様の漢方(日)	汉方道
王道之中药	汉方道
双J计划	功夫之王
血战新世纪(港)	最后的吸血鬼
血战：最后的吸血鬼(台)	最后的吸血鬼
小夜刀	最后的吸血鬼
大电影之数百亿	大电影
贫嘴张大民的幸福生活之美丽的家	美丽的家
野孩子的秘密(台)	房东老爸
房东爸爸	房东老爸
何处是儿家	房东老爸
男生女生配	好孩子
流氓学生	好孩子
刺马	投名状
见龙卸甲	三国之见龙卸甲
远东国际大审判	东京审判
权杖	唐卡迷踪
里克·汉森：龙之心	龙之心
灌篮	大灌篮
功夫灌篮	大灌篮
灌篮高手	大灌篮
长江7号	长江七号
萨仁图雅	图雅的婚事
迷失北京	苹果
天下有贼100个	100个
调包	十全十美之相聚北京
3·温暖	第三种温暖
了凡四訓	了凡四训
诗意的年代	小说
刀子和刀子	十三棵泡桐
導火線	导火线
破军	导火线
長生殿	长生殿
女人有毒	双食记
照相机	寄生人
幽灵信箱	信箱
天子驕龍	天子骄龙
精武侠缘	天子骄龙
精武小英雄	天子骄龙
小毛头大英雄	天子骄龙
水浒人物谱之母夜叉孙二娘	母夜叉孙二娘
回家路	盲山
一个独生女儿的故事	一个独生女的故事
风的另一头(台)	风的另一边
风的另一侧	风的另一边
每當變幻時	每当变幻时
梁祝恨	梁山伯与祝英台新传
老左正传	老港正传
老少無猜	生旦净末
喜欢你喜欢我	恋爱大赢家
谜尸	深海寻人
银牌车手	疯狂的赛车
闪闪的红星之红星小勇士	闪闪的红星
闪闪的红星之孩子的天空(港)	闪闪的红星
连环局	绑架
格斗之王	真人快打：毁灭
畫皮	画皮
塑料城市	荡寇
勾魂妻	陶器人形
炼金之旅	牧羊少年奇幻之旅
我想有个家	暖春
七·七事变	七七事变
缘分2000	缘，妙不可言
女足九号	女足9号
