一九九零	1990
90	1990
九零	1990
一九九一	1991
91	1991
九一	1991
一九九二	1992
92	1992
九二	1992
一九九三	1993
93	1993
九三	1993
一九九四	1994
94	1994
九四	1994
一九九五	1995
95	1995
九五	1995
一九九六	1996
96	1996
九六	1996
一九九七	1997
97	1997
九七	1997
一九九八	1998
98	1998
九八	1998
一九九九	1999
99	1999
九九	1999
二零零零	2000
00	2000
零零	2000
二零零一	2001
01	2001
零一	2001
二零零二	2002
02	2002
零二	2002
二零零三	2003
03	2003
零三	2003
二零零四	2004
04	2004
零四	2004
二零零五	2005
05	2005
零五	2005
二零零六	2006
06	2006
零六	2006
二零零七	2007
07	2007
零七	2007
二零零八	2008
08	2008
零八	2008
二零零九	2009
09	2009
零九	2009
二零一零	2010
10	2010
一零	2010
二零一一	2011
11	2011
一一	2011
二零一二	2012
12	2012
一二	2012
二零一三	2013
13	2013
一三	2013
二零一四	2014
14	2014
一四	2014
二零一五	2015
15	2015
一五	2015
二零一六	2016
16	2016
一六	2016
二零一七	2017
17	2017
一七	2017
二零一八	2018
18	2018
一八	2018
二零一九	2019
19	2019
一九	2019
二零二零	2020
20	2020
二零	2020
二零二一	2021
21	2021
二一	2021
二零二二	2022
22	2022
二二	2022
二零二三	2023
23	2023
二三	2023
二零二四	2024
24	2024
二四	2024
二零二五	2025
25	2025
二五	2025
二零二六	2026
26	2026
二六	2026
二零二七	2027
27	2027
二七	2027
二零二八	2028
28	2028
二八	2028
二零二九	2029
29	2029
二九	2029
二零三零	2030
30	2030
三零	2030
二零三一	2031
31	2031
三一	2031
二零三二	2032
32	2032
三二	2032
二零三三	2033
33	2033
三三	2033
二零三四	2034
34	2034
三四	2034
二零三五	2035
35	2035
三五	2035
二零三六	2036
36	2036
三六	2036
二零三七	2037
37	2037
三七	2037
二零三八	2038
38	2038
三八	2038
二零三九	2039
39	2039
三九	2039
二零四零	2040
40	2040
四零	2040
二零四一	2041
41	2041
四一	2041
二零四二	2042
42	2042
四二	2042
二零四三	2043
43	2043
四三	2043
二零四四	2044
44	2044
四四	2044
二零四五	2045
45	2045
四五	2045
二零四六	2046
46	2046
四六	2046
二零四七	2047
47	2047
四七	2047
二零四八	2048
48	2048
四八	2048
二零四九	2049
49	2049
四九	2049
