"白百何,井柏然,姜武,金燕玲,钟汉良,曾志伟,吴君如,汤唯,姚晨,闫妮,保剑锋,王栎鑫,郭晓东,李菁菁,田雨橙,张悦轩",2015-07-16(中国大陆),许诚毅,25723907,汉语普通话,6.7,309637,中国大陆 / 香港,118分钟,捉妖记,"喜剧,奇幻,古装",2015
"小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔,保罗·贝坦尼,丽贝卡·豪尔,乔恩·费儒,威廉姆·赛德勒,詹姆斯·戴尔,伊芳·齐玛,泰·辛普金斯,阿什利·汉弥尔顿,王学圻,范冰冰","2013-05-01(中国大陆),2013-04-18(伦敦首映),2013-05-03(美国)",沙恩·布莱克,3231742,英语 / 汉语普通话,7.7,262269,美国 / 中国大陆,134分钟(中国大陆),钢铁侠3 Iron Man 3,"动作,科幻",2013
"任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,查尔斯·亚瑟,王峰",2016-10-28(中国大陆),"周申,刘露",25921812,汉语普通话,8.3,404876,中国大陆,111分钟,驴得水,"剧情,喜剧",2016
"尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,樊光耀,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民","1987-10-04(东京国际电影节),1987-10-23(意大利)",贝纳尔多·贝托鲁奇,1293172,英语 / 汉语普通话 / 日语 / 俄语,9.1,249076,英国 / 意大利 / 中国大陆 / 法国 / 美国,163分钟,末代皇帝 The Last Emperor,"剧情,传记,历史",1987
"汤唯,吴秀波,海清,宋美曼,宋美慧,金燕玲,买红妹,布拉德·哈德,李绮虹","2013-03-21(中国大陆),2016-03-29(重映)",薛晓路,10574468,汉语普通话 / 英语 / 闽南语,7.4,423038,中国大陆 / 香港,123分钟,北京遇上西雅图,"喜剧,爱情",2013
"陈坤,黄渤,舒淇,杨颖,夏雨,刘晓庆,颜卓灵,曹操,张东,黄西,僧格仁钦",2015-12-18(中国大陆),乌尔善,3077412,汉语普通话 / 英语 / 蒙古语 / 日语,7.5,393277,中国大陆 / 香港,125分钟(中国大陆),寻龙诀,"剧情,动作,奇幻,冒险",2015
"冯绍峰,陈柏霖,钟汉良,王珞丹,袁泉,陈乔恩,贾樟柯,白客,孔连顺,高华阳",2014-07-24(中国大陆),韩寒,25805741,汉语普通话 / 手语 / 粤语,7.1,430143,中国大陆,104分钟,后会无期,剧情,2014
"黄轩,染谷将太,张雨绮,秦昊,张榕容,刘昊然,欧豪,张鲁一,阿部宽,田雨,刘佩琦,辛柏青,成泰燊,李淳,秦怡,松坂庆子,张天爱,周中和,火野正平,夏楠,陈旭,王迪,宋运成,刘国华","2017-12-22(中国大陆),2018-02-24(日本)",陈凯歌,5350027,汉语普通话 / 日语,6.9,435891,中国大陆 / 日本,129分钟(中国大陆),妖猫传,"剧情,悬疑,奇幻,古装",2017
"张涵予,彭于晏,孙淳,陈宝国,冯文娟,刘显达,赵健,吴旭东,吴嘉龙,卢惠光,柏华力·莫高彼斯彻,维他亚·潘斯林加姆,战立国,石占杰,伍麟凯,Zobra,魏蔓,李佳璇,郝文婷,王笑龙,任蕊,Bhubhing Bhangsa-Ard,Achaya Vishwanath Govind,Nitidet Chery Junphli,Keerali Sivakuae,Alyaret Junamnoong,Vattcharachai Sunthomsin,Sarawut Kumsorn,Nongmal Bunchu,Subash A/L Sundaramoorthy,Itthiphon,Samrit Warin,纳卡琳·加汉,钟建龙,张敏嘉,陈沛兴,林美芬,詹姆斯·阿媞邦德,Amigo",2016-09-30(中国大陆),林超贤,25815034,汉语普通话 / 粤语 / 泰语 / 缅甸语 / 英语,8.0,431912,中国大陆 / 香港,124分钟,湄公河行动,"动作,犯罪",2016
"雷佳音,佟丽娅,张衣,于和伟,王正佳,陶虹,李念,李光洁,杨玏,范明,徐峥,杨迪,方龄,陈昊",2018-05-18(中国大陆),苏伦,27133303,汉语普通话,6.9,282961,中国大陆,101分钟,超时空同居,"喜剧,爱情,奇幻",2018
