[2018-12-05 15:13:42,454] [INFO] 成龙演过哪些电影 18 QuestionSet.has_movie_question
[2018-12-05 15:14:07,361] [INFO] 谢娜的英文名是什么？ 13 QuestionSet.actor_englishname_question
[2018-12-05 15:23:10,239] [INFO] 电影功夫之王有哪些演员 16 QuestionSet.has_actor_question 李冰冰,李连杰,邹兆龙,王德顺,成龙,莫
[2018-12-05 15:23:10,305] [INFO] 电影功夫之王有哪些演员 16 QuestionSet.has_actor_question 李冰冰,李连杰,邹兆龙,王德顺,成龙,莫
[2018-12-05 15:23:46,964] [INFO] 电影功夫之王有哪些演员 16 QuestionSet.has_actor_question 李冰冰,李连杰,邹兆龙,王德顺,成龙,莫
[2018-12-05 15:37:41,994] [INFO] 哈哈哈 -1 None [抱歉，您提供的信息不够完整...]
[2018-12-05 15:39:57,904] [INFO] 哈哈哈 -1 None [抱歉，暂不能回答您的这个问题...]
[2018-12-05 15:40:17,525] [INFO] 你叫什么名字 -1 None [抱歉，暂不能回答您的这个问题...]
[2018-12-05 15:40:37,555] [INFO] 我想知道李连杰出演的电影有哪些呢 18 QuestionSet.has_movie_question [黄飞鸿之三：狮王争霸,南北少林,少林寺,...]
[2018-12-05 15:41:41,169] [INFO] 恩。。。白蛇传说有哪些演员？ 16 QuestionSet.has_actor_question [黄圣依,林雪,姜武,李连杰,蔡卓妍,杨千...]
[2018-12-05 15:42:23,920] [INFO] 恩。。。白蛇传说有哪些演员？ 16 QuestionSet.has_actor_question [黄圣依,林雪,姜武,李连杰,蔡卓妍,杨千...]
[2018-12-05 15:45:45,111] [INFO] 电影白蛇传说封面 6 QuestionSet.movie_cover_question [https://img3.doubani...]
[2018-12-05 15:45:58,345] [INFO] 李连杰头像 -1 None [抱歉，暂不能回答您的这个问题...]
[2018-12-05 15:46:09,811] [INFO] 李连杰照片 -1 None [抱歉，暂不能回答您的这个问题...]
[2018-12-05 15:46:59,179] [INFO] 李连杰的头像 12 QuestionSet.actor_pic_question [https://img3.doubani...]
[2018-12-05 15:47:12,444] [INFO] 李连杰的照片 12 QuestionSet.actor_pic_question [https://img3.doubani...]
[2018-12-05 15:48:01,526] [INFO] 成龙个人照片 -1 None [抱歉，暂不能回答您的这个问题...]
[2018-12-05 15:48:10,496] [INFO] 成龙的个人照片 12 QuestionSet.actor_pic_question [https://img3.doubani...]
[2018-12-05 16:18:20,048] [INFO] 章子怡演过的电影 18 QuestionSet.has_movie_question [2046,卧虎藏龙,英雄,蜀山传,十面埋...]
[2018-12-05 16:49:54,297] [INFO] 李连杰演过的所有电影有哪些 18 QuestionSet.has_movie_question [黄飞鸿之三：狮王争霸,南北少林,少林寺,...]
[2018-12-05 16:50:21,889] [INFO] 吴君如演过的电影？？ 18 QuestionSet.has_movie_question [恋上你的床,如果·爱,麦兜响当当,大内密...]
